timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%]
2024/05/07 13:44:34.689, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.704, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.715, 40, 40.01 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.729, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.745, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.756, 40, 40.01 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.769, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.785, 40, 39.91 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.795, 40, 40.00 W, 1335 MHz, 72 %, 850 MHz, 1335 MHz, 2 %
2024/05/07 13:44:34.809, 40, 39.89 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.825, 40, 39.89 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.836, 40, 39.99 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.850, 40, 40.01 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.865, 40, 40.01 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.876, 40, 39.81 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.889, 40, 40.01 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.905, 40, 40.01 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.916, 41, 153.45 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.929, 41, 192.31 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.956, 42, 196.39 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.969, 42, 197.24 W, 1335 MHz, 4 %, 850 MHz, 1335 MHz, 0 %
2024/05/07 13:44:34.986, 42, 197.24 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:34.997, 43, 197.91 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.010, 43, 199.52 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.025, 43, 199.52 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
