timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 15:40:29.985, 45, 40.17 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.088, 49, 47.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.091, 45, 41.77 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.097, 46, 51.38 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.099, 45, 40.05 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.202, 49, 47.33 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.205, 44, 41.61 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.207, 46, 51.44 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.211, 45, 39.95 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.313, 49, 47.27 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.316, 45, 41.81 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.319, 46, 51.41 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.321, 45, 39.96 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.424, 49, 47.12 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.427, 44, 41.84 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.430, 46, 51.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.432, 45, 40.04 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.535, 49, 47.40 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.538, 45, 41.97 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.541, 46, 51.48 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.598, 45, 40.16 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.701, 49, 47.55 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.704, 45, 42.00 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.707, 46, 51.48 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.709, 45, 40.17 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.812, 49, 47.27 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.815, 45, 41.86 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.819, 46, 51.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.822, 45, 40.11 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
