timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz]
2024/05/07 21:09:21.926, 39, 10.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.029, 39, 5.03 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.035, 38, 8.40 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.040, 39, 7.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.045, 39, 10.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.149, 39, 5.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.153, 38, 9.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.157, 39, 8.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.161, 39, 10.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.264, 39, 5.04 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.268, 38, 8.16 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.271, 39, 7.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.275, 39, 9.87 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.378, 39, 5.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.382, 38, 8.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.385, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.389, 39, 10.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.492, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.496, 38, 8.56 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.499, 39, 7.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.502, 39, 9.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.607, 39, 4.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.610, 38, 8.38 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.614, 39, 7.29 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.617, 39, 10.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.721, 39, 4.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.724, 38, 8.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.727, 39, 7.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.731, 38, 10.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.834, 39, 5.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.838, 38, 8.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.841, 39, 7.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.844, 38, 10.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.948, 39, 5.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.951, 38, 8.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.955, 39, 7.65 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:22.959, 39, 10.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.063, 39, 5.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.066, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.071, 39, 7.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.074, 39, 10.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.178, 39, 5.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.181, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.184, 39, 7.66 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.188, 38, 10.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.291, 39, 4.96 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.295, 38, 8.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.298, 39, 7.60 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.301, 38, 10.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.405, 39, 5.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.409, 38, 8.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.412, 39, 7.67 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.417, 39, 10.06 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.521, 39, 5.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.524, 38, 8.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.528, 39, 7.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.531, 39, 10.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.635, 39, 5.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.638, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.641, 39, 7.55 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.645, 39, 10.26 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.751, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.756, 38, 8.38 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.759, 39, 7.38 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.762, 39, 9.81 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.866, 39, 5.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.869, 38, 8.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.874, 39, 7.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.877, 38, 9.94 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.981, 39, 4.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.984, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.988, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:23.991, 38, 9.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.095, 39, 5.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.098, 38, 8.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.102, 39, 7.96 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.105, 39, 10.26 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.209, 39, 5.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.212, 38, 8.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.216, 39, 7.59 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.219, 39, 10.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.323, 39, 5.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.326, 38, 8.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
